engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms,block_size,blocks_per_sm
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5056058088,0.0653252206,1.3642230000,256,8
GPU,AsianArithmeticCall,1,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7742720989,0.0349138560,12.5019800000,256,8
GPU,EuropeanCall,1,5000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5662501243,0.0292324282,0.8212510000,256,8
GPU,AsianArithmeticCall,1,5000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7443371440,0.0156109398,54.3673730000,256,8
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5692554330,0.0206771309,0.9465770000,256,8
GPU,AsianArithmeticCall,1,10000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7744895598,0.0110519728,107.8594640000,256,8
GPU,EuropeanCall,1,50000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5697608449,0.0092444950,2.7792120000,256,8
GPU,AsianArithmeticCall,1,50000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7607672927,0.0049398559,535.2726560000,256,8
GPU,EuropeanCall,1,100000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5715939786,0.0065370189,5.1601010000,256,8
GPU,AsianArithmeticCall,1,100000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7558914235,0.0034923713,1070.3110370000,256,8
GPU,EuropeanCall,1,500000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5707514448,0.0029232242,27.1541300000,256,8
GPU,AsianArithmeticCall,1,500000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7615478649,0.0015623534,5336.1896960000,256,8
GPU,EuropeanCall,1,1000000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5723231062,0.0020670585,57.6191930000,256,8
GPU,AsianArithmeticCall,1,1000000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7606399342,0.0011046879,10699.1589670000,256,8
