engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms,block_size,blocks_per_sm
GPU,EuropeanCall,1,100000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.3962633892,0.2052246171,0.8742570000,256,8
GPU,AsianArithmeticCall,1,100000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7251430450,0.1105049219,1.4466340000,256,8
GPU,BasketEuropeanCall,1,100000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2999734546,0.2649325753,11.7242020000,256,8
GPU,EuropeanCall,1,500000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5634957573,0.0925381011,2.0107280000,256,8
GPU,AsianArithmeticCall,1,500000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7463243603,0.0493191805,4.7973590000,256,8
GPU,BasketEuropeanCall,1,500000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.4063127451,0.1182658663,55.3004120000,256,8
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.6334802616,0.0655259881,0.8589820000,256,8
GPU,AsianArithmeticCall,1,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7712270556,0.0349179435,9.8032360000,256,8
GPU,BasketEuropeanCall,1,1000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.4076163613,0.0838003149,105.3710120000,256,8
GPU,EuropeanCall,1,5000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5881601515,0.0292393712,1.6584050000,256,8
GPU,AsianArithmeticCall,1,5000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7425011122,0.0156144107,52.6644620000,256,8
GPU,BasketEuropeanCall,1,5000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2635906152,0.0373443510,526.1018690000,256,8
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5800746638,0.0206685319,0.9526070000,256,8
GPU,AsianArithmeticCall,1,10000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7485235316,0.0110414705,108.2104960000,256,8
GPU,BasketEuropeanCall,1,10000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2746767033,0.0264150182,1045.2657150000,256,8
